id,emp_name,salary
17,Emylee Harnwell,78569.0
32,Tate Hotson,51212.0
41,Bab Grelik,48943.0
59,Karlee Coche,85597.0
84,Dewain Rennix,75743.0
88,Sigfrid Bullant,88445.0
100,Debbi Pickring,82689.0
111,Willetta Janicijevic,64372.0
128,Shyam Sundar,45000.0
129,Ravi Kishan,45000.0
131,Scarface Doutch,38270.0
143,Maighdiln Saddleton,43246.0
151,Lefty Merrigans,79517.0
158,Piotr Elfleet,35942.0
172,Birk Abrehart,49202.0
220,Brita Ickovic,75817.0
241,Jacintha Gathercole,58589.0
267,Ailyn Middleton,96883.0
268,Lynnelle Branchett,41799.0
290,Wendy Hallwood,41735.0
299,Gabriel Guillond,41405.0
312,Corissa Castrillo,39283.0
326,Jeanna Karlolak,91080.0
328,Pernell Karolowski,37881.0
340,Lexine Thomerson,78693.0
345,Layla D'Ambrogio,44634.0
352,Christi Dawtrey,61489.0
361,Elle Reicharz,88232.0
371,Rebecka Dewes,67922.0
373,Stavros Crasswell,87245.0
397,Ammamaria Sheryne,55104.0
411,Eldin Patkin,72024.0
415,Vilhelmina Vaissiere,70138.0
427,Catherin Ghidini,42957.0
451,Thaxter Binnall,52676.0
462,Ninon Weatherdon,45736.0
463,Nikolas Marmion,41929.0
466,Kore Ticehurst,86708.0
482,Marlon Leipelt,69265.0
484,Junina Peaseman,58477.0
489,Holt Bolland,41231.0
490,Evonne Huband,77605.0
498,Abdul Bernardo,87514.0
502,Casey Christou,78881.0
506,Skippie Deighton,52801.0
520,Malchy Fresson,53607.0
522,Everard Emm,40113.0
526,Minnaminnie Kemm,44922.0
532,Evonne Harford,56499.0
542,Mac Moxham,71178.0
566,Brigit Lamar,40042.0
569,Gunner Fillimore,94944.0
592,Jayme Kainz,97723.0
600,Guido Middas,79119.0
605,Alysa Carnalan,73506.0
617,Peirce Hackin,77294.0
631,Corina Dirkin,77929.0
632,Sindee Staynes,57729.0
656,Chandler Berr,95560.0
665,Hurleigh Poppy,60432.0
673,Jere Hamal,55619.0
680,Kesley Mille,57349.0
691,Elisha Emmerson,95080.0
701,Codee Newlove,72841.0
713,Jonis Cudihy,44930.0
755,Gibby Godain,97118.0
765,Karly Timothy,97487.0
787,Curtice Wetheril,55822.0
810,Myrna Golborne,41448.0
822,Heather Pach,73085.0
855,Marcellus Wynett,82975.0
875,Jillie Keaveny,65162.0
888,Giraud Leatt,66343.0
901,Sylas Bliss,82797.0
903,Timothea Goodin,74537.0
907,Bettina Beechcraft,39619.0
912,Amargo Mattholie,53195.0
925,Cristy Gouge,90025.0
943,Ban Pallent,43097.0
959,Parnell Gripton,36509.0
968,Kris Rawlyns,70939.0
971,Davy Ashborne,70450.0
982,Burnaby Silly,98531.0
984,Hermione Euesden,46265.0
1001,Hari Rao,35942.0
1002,Puneeth Rao,35942.0
